"Comment","Designator","Footprint","LCSC Part #"
"100n","C1,C3,C4,C5","C_0805_2012Metric",""
"10u","C2","CP_Elec_4x5.3",""
"1u","C6,C7","C_0805_2012Metric",""
"10u","C8,C9","C_0805_2012Metric",""
"BUS","J1","PinHeader_2x10_P2.54mm_Horizontal",""
"CV IN","J2","PinHeader_1x10_P2.54mm_Horizontal",""
"RANGE","JP1","PinHeader_1x03_P2.54mm_Vertical",""
"1k","R1,R2,R3,R4,R5,R6,R7,R8","R_0805_2012Metric",""
"100k","R9","R_0805_2012Metric",""
"AD7606BSTZ","U1","LQFP-64_10x10mm_P0.5mm",""
"AMS1117-5.0","U2","SOT-223-3_TabPin2",""
